zip,state_id,state_name
1340,MA,Massachusetts
1341,MA,Massachusetts
1342,MA,Massachusetts
1343,MA,Massachusetts
1344,MA,Massachusetts
1346,MA,Massachusetts
1347,MA,Massachusetts
1349,MA,Massachusetts
1350,MA,Massachusetts
1351,MA,Massachusetts
1354,MA,Massachusetts
1355,MA,Massachusetts
1360,MA,Massachusetts
1364,MA,Massachusetts
1366,MA,Massachusetts
1367,MA,Massachusetts
1368,MA,Massachusetts
1370,MA,Massachusetts
1373,MA,Massachusetts
1375,MA,Massachusetts
1376,MA,Massachusetts
1378,MA,Massachusetts
1379,MA,Massachusetts
1420,MA,Massachusetts
1430,MA,Massachusetts
1431,MA,Massachusetts
1432,MA,Massachusetts
1434,MA,Massachusetts
1436,MA,Massachusetts
1438,MA,Massachusetts
1440,MA,Massachusetts
1450,MA,Massachusetts
1451,MA,Massachusetts
1452,MA,Massachusetts
1453,MA,Massachusetts
1460,MA,Massachusetts
1462,MA,Massachusetts
1463,MA,Massachusetts
1464,MA,Massachusetts
1467,MA,Massachusetts
1468,MA,Massachusetts
1469,MA,Massachusetts
1473,MA,Massachusetts
1474,MA,Massachusetts
1475,MA,Massachusetts
1501,MA,Massachusetts
1503,MA,Massachusetts
1504,MA,Massachusetts
1505,MA,Massachusetts
1506,MA,Massachusetts
1507,MA,Massachusetts
1510,MA,Massachusetts
1515,MA,Massachusetts
1516,MA,Massachusetts
1518,MA,Massachusetts
1519,MA,Massachusetts
1520,MA,Massachusetts
1521,MA,Massachusetts
1522,MA,Massachusetts
1523,MA,Massachusetts
1524,MA,Massachusetts
1525,MA,Massachusetts
1527,MA,Massachusetts
1529,MA,Massachusetts
1531,MA,Massachusetts
1532,MA,Massachusetts
1534,MA,Massachusetts
1535,MA,Massachusetts
1536,MA,Massachusetts
1537,MA,Massachusetts
1540,MA,Massachusetts
1541,MA,Massachusetts
1542,MA,Massachusetts
1543,MA,Massachusetts
1545,MA,Massachusetts
1550,MA,Massachusetts
1560,MA,Massachusetts
1561,MA,Massachusetts
1562,MA,Massachusetts
1564,MA,Massachusetts
1566,MA,Massachusetts
1568,MA,Massachusetts
1569,MA,Massachusetts
1570,MA,Massachusetts
1571,MA,Massachusetts
1581,MA,Massachusetts
1583,MA,Massachusetts
1585,MA,Massachusetts
1588,MA,Massachusetts
1590,MA,Massachusetts
1602,MA,Massachusetts
1603,MA,Massachusetts
1604,MA,Massachusetts
1605,MA,Massachusetts
1606,MA,Massachusetts
1607,MA,Massachusetts
1608,MA,Massachusetts
1609,MA,Massachusetts
1610,MA,Massachusetts
1611,MA,Massachusetts
1612,MA,Massachusetts
1701,MA,Massachusetts
1702,MA,Massachusetts
1718,MA,Massachusetts
1719,MA,Massachusetts
1720,MA,Massachusetts
1721,MA,Massachusetts
